RM2,,,,# Shear webs ->,1,# of stacks ->,7,Stack ID ->,1,2,3,4,5,6,7,Segment ID ->,1,2,3,4,5,6,7,8,9,10,11,12,DP Types,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,,
,,,,,,# of segments ->,12,Material ID ->,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,first entry in the CSV list is the exterior blade surface stack,,,,,,,,,,,,SW1,
Sta.#,Blade span (m),Airfoil Shape File,TE Type,Twist (deg),Chord,xoffset,aero center,Section Label,LE,Panel_Face,Panel_Core,Spar,TE,SW_Face,SW_Core,-blank-,HP_TE,HP_Aft_Panel,HP_Aft_Spar,HP_Fore_Spar,HP_Fore_Panel,HP_LE,LP_LE,LP_Fore_Panel,LP_Aft_Spar,LP_Fore_Spar,LP_Aft_Panel,LP_TE,,,,,,,,,,,,,,HP_TE,HP_Aft_Panel,HP_Aft_Spar,HP_Fore_Spar,HP_Fore_Panel,HP_LE,LP_LE,LP_Fore_Panel,LP_Aft_Spar,LP_Fore_Spar,LP_Aft_Panel,LP_TE,stacks,dps
1,0,NACA_0021_DMS,sharp,0,0.06,0.25,0.25,,0.000001,1,0.000001,0.000001,0.000001,0.000001,0.000001,-1,-0.95,-0.5,-0.3,-0.1,-0.095,0,0.095,0.1,0.3,0.5,0.95,1,,,,,,,,,,,,,,"2,5,2","2,3,2","2,4,2","2,4,2","2,3,2","2,1,2","2,1,2","2,3,2","2,4,2","2,4,2","2,3,2","2,5,2","6,7,6","9,3,3,9"
2,0.079,NACA_0021_DMS,sharp,0,0.06,0.25,0.25,,0.000001,1,0.000001,0.000001,0.000001,0.000001,0.000001,-1,-0.95,-0.5,-0.3,-0.1,-0.095,0,0.095,0.1,0.3,0.5,0.95,1,,,,,,,,,,,,,,"2,5,2","2,3,2","2,4,2","2,4,2","2,3,2","2,1,2","2,1,2","2,3,2","2,4,2","2,4,2","2,3,2","2,5,2","6,7,6","9,3,3,9"
3,0.08,NACA_0021_DMS,sharp,0,0.06,0.25,0.25,,0.000001,1,0.000001,0.000001,0.000001,0.000001,0.000001,-1,-0.95,-0.5,-0.3,-0.1,-0.095,0,0.095,0.1,0.3,0.5,0.95,1,,,,,,,,,,,,,,"2,5,2","2,3,2","2,4,2","2,4,2","2,3,2","2,1,2","2,1,2","2,3,2","2,4,2","2,4,2","2,3,2","2,5,2","6,7,6","9,3,3,9"
4,0.179,NACA_0021_DMS,sharp,0,0.06,0.25,0.25,,0.000001,1,0.000001,0.000001,0.000001,0.000001,0.000001,-1,-0.95,-0.5,-0.3,-0.1,-0.095,0,0.095,0.1,0.3,0.5,0.95,1,,,,,,,,,,,,,,"2,5,2","2,3,2","2,4,2","2,4,2","2,3,2","2,1,2","2,1,2","2,3,2","2,4,2","2,4,2","2,3,2","2,5,2","6,7,6","9,3,3,9"
5,0.3585,NACA_0021_DMS,sharp,0,0.06,0.25,0.25,,0.000001,1,0.000001,0.000001,0.000001,0.000001,0.000001,-1,-0.95,-0.5,-0.3,-0.1,-0.095,0,0.095,0.1,0.3,0.5,0.95,1,,,,,,,,,,,,,,"2,5,2","2,3,2","2,4,2","2,4,2","2,3,2","2,1,2","2,1,2","2,3,2","2,4,2","2,4,2","2,3,2","2,5,2","6,7,6","9,3,3,9"
6,0.5375,NACA_0021_DMS,sharp,0,0.06,0.25,0.25,,0.000001,1,0.000001,0.000001,0.000001,0.000001,0.000001,-1,-0.95,-0.5,-0.3,-0.1,-0.095,0,0.095,0.1,0.3,0.5,0.95,1,,,,,,,,,,,,,,"2,5,2","2,3,2","2,4,2","2,4,2","2,3,2","2,1,2","2,1,2","2,3,2","2,4,2","2,4,2","2,3,2","2,5,2","6,7,6","9,3,3,9"
