,,,,Ex,Ey,Ez,Gxy,Gyz,Gxz,prxy,pryz,prxz,,,,,,,,,,,,,,,,,,,,,
,,Type,Layer Thickness,E11,E22,,G12,,,nu12,,,density,UTSx,UCSx,UTSy,UCSy,UTSz,UCSz,Cost,Reference,SN_stressMpa,SN_stressMpa,SN_stressMpa,SN_stressMpa,SN_stressMpa,SN_stressMpa,Log_SN_cycles2Fail,Log_SN_cycles2Fail,Log_SN_cycles2Fail,Log_SN_cycles2Fail,Log_SN_cycles2Fail,Log_SN_cycles2Fail
Material ID,,,[mm],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[kg/m3],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[$/kg],,,,,,,,,,,,,
1,Generic_Pultrusion,orthotropic,1,27000,6000,6000,3000,2500,2500,.26,.36,.26,1850,400,200,100,200,100,200,3.0,,400,350,325,275,200,0,0,1,2,4,6,20
2,Generic_Skin,orthotropic,1,27000,6000,6000,3000,2500,2500,.26,.36,.26,1850,400,200,100,200,100,200,3.0,,400,350,325,275,200,0,0,1,2,4,6,20
3,steel,orthotropic,1,199948,199948,199948,76877,76877,76877,0.3,0.3,0.3,7861.092935,420,250,420,250,420,250,1.0,,420,415,375,275,190,0.0,0,1,2,4,6,20
4,Foam,orthotropic,1,1000,1000,1000,100,100,100,0.3,0.3,0.3,100,50,50,50,50,50,50,.1,,50,45,40,35,20,0.0,0,1,2,4,6,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
