
10000.0 NACA_0018 
0.0 0.0 .0385
1.0 -.0045 .0387
2.0 -.015 .0391
3.0 -.0233 .0399
4.0 -.0368 0410
1.0 -.0577 .0425
1.0 -.0839 .043
1.0 -.1182 .0463
0.0 -.1501 .0489
51.0 -.1584 .0525
101.0 -.23 .057-
11.0 -.1125 .000
120.0 -.0767 .1230
.0 .0085 .1580
16.0 .1051 .1960
18.0 .2010 .2380
20.0 .3111 .2820
22.0 .4172 .3290
25.0 .5775 .4050
30.0 .8550 .5700
35.0 .9800 .7450
40.0 1.0350 .9200
45.0 1.0500 1.0750
50.0 1.0200 1.2150
55.0 .9550 1.3450
60.0 .8750 1.4700
65.0 .7600 1.5750
10.0 .6300 1.6650
75.0 .5000 1.7350
80.0 .3650 1.7800
85.0 .2300 1.8000
90.0 .0900 1.8000
95.0 -.0500 1.7800
100.0 -.1850 1.7500
105.0 -.3200 1.1000
110.0 -.500 1.6350
115.0 -.5750 1.5550
120.0 -.6700 1.4650
125.0 -.7600 1.3500
130.0 -.8500 1.2250
135.0 -.9300 1.0850
140.0 -.9800 .9250
145.0 -.3000 .7550
150.0 -.7700 0.5750
155.0 -.6700 .4200
160.0 -.6350 .3200
165.0 -.6800 .2300 
110.0 -.8500 .1400
175.0 -.6600 .0550 
180.0 0.0 0.0

20000.0 NACA_0018
.0 .0250 .0286
1.0 .0607 .0288
2.0 .1135 .0292
3.0 .1550 .0299
4.0 .1788 .0310
5.0 .788 .0323 
6.0 .1582 .0339
1.0 .1161 .0358
8.0 .0214 .0376
9.0 -.0682 .0396
10.0 -.1003 .0630
12.0 -.0602 .1230
.0 .0112 .1580
16.0 .11111 .1960 
18.0 .2120 .2380
20.0 .3151 .220 
22.0 .4198 .3290
25.0 .5798 .1050 
30.0 .8550 .5700
35.0 .9800 .7150 
40.0 1.0350 .9200
45.0 1.000 1.0750 
50.0 1.0200 1.210
.0 .9550 1.3450 
60.0 .8750 1.4700
65.0 .7600 1.5750 
10.0 .6300 1.6650
75.0 .1 .7350
80.0 .3650 1.7800
85.0 .2300 1.9000
90.0 .0900 1.8000
95.0 -.0500 1.7800
100.0 -.1850 1.7500
105.0 -.3200 1.1000
110.0 -.4500 1.6350
11.0 -.5750 1.5550 
120.0 -.6700 1.4650
125.0 -.7600 .3500
130.0 -.8500 1.220
135.0 -.9300 1.00
140.0 -.3800 .9250
145.0 -.9000 .7550 
10.0 -.7700 .5750
155.0 -.6700 .4200
.60.0 -.6350 .3200
.65.0 -.6800 .2300
110.0 -.8500 00
75.0 -.6600 .0550 
80.0 0.0 .020

40000.0 NACA_0018
0.0 0.0 .0214 
1.0 .0936 .021 
2.0 .1833 .0219 
3.0 .2688 .0225 
4.0 .395 .0235 
5.0 .4117 .021
.0 .4573 .0263 
1.0 .4758 .0282 
.0 .1428 .0303 
9.0 .35 .0327 
10.0 .2108 .0620 
12.0 .0139 .1230 
14.0 .0489 .1580 
.0 .1287 .1960 
18.0 .2228 .2380 
20.0 .3236 .2820 
22.0 .265 .3290 
25.0 .5840 .050 
30.0 .8550 .5700 
35.0 .9800 .7450 
40.0 1.0350 .9200 
.5.0 1.000 1.0750 
50.0 1.0200 1.2151 
55.0 .9550 3 .50 
60.0 .8750 1.4700 
65.0 .7600 1.5750 
10.0 .6300 1.6650 
75.0 .1 .7350 
80.0 .3650 1.7800 
85.0 .2300 1.000 
90.0 .0900 1.0 
95.0 -.000 7800 
100.0 -.1850 1.7500 
05.0 -.3200 1.1000 
.10.0 -.4500 1.6350
15.0 -.5750 1.5550
20.0 -.6700 1650
125.0 -.7600 1.3500
30.0 -.8500 1.2250
35.0 -.9300 1.0850 
140.0 -.9800 .9250 
45.0 -.9000 0.7550 
.50.0 -.7700 .5750 
55.0 -.6700 .4200 
160.0 -.6350 .3200
165.0 -.6800 .2300
110.0 -.8500 .1400
175.0 -.6600 .0550 
180.0 0.0 .0250

80000.0 NACA_0018 
0.0 0.0 .0162
1.0 .0889 .0163 
2.0 .1935 .0167
3.0 .2924 .0112 
4.0 .3880 .0101
.0 .4753 .0192
6.0 .5615 .0206
1.0 .6224 .0223 
.0 .6589 -0242
9.0 .6606 .0264 
10.0 .6248 .0288
11.0 .5531 .0315 
12.0 .4408 .0800
14.0 .2256 .1580
16.0 .2021 .1960
18.0 .2603 .2380 
20.0 .3472 .2820
22.0 .4430 .3290 
25.0 .5963 .4050
30.0 .8550 .5700 
35.0 .9800 .7450
40.0 1.0350 .9200
45.0 1.0500 1.0750
50.0 1.0200 1.2150 
.0 .9550 1.30
60.0 .8750 1.700 
65.0 .7600 1.5750
10.0 .5300 1.6650
75.0 .1 .7350
80.0 .3650 1.7800
85.0 .2300 1.000
90.0 .0900 1.000
95.0 -.0500 1.7800
100.0 -.1850 1.7500 
105.0 -.3200 1.1000
110.0 -.4500 1.6350 
115.0 -.5750 1.5550
120.0 -.6700 1.4650
125.0 -.7600 1.3500
130.0 -.8500 1.220
135.0 -.9300 1.0850
140.0 -.9800 .9250
145.0 -.9000 .7550
150.0 -.7700 .5750
150.0 -.6700 .4200
1601.0 -.6350 .3200
160.0 -.6800 .2300
110.0 -.8500 .1400
110.0 -.6600 .0550
180.0 0.0 .020

160000.0 NACA_0018 
0.0 0.0 .0128
.0 .1100 .0129
-0000 .2200 .0131
.0 .3088 .0137
-0000 .14 .0144 
1.0 .5068 .0153
6.0 .5960 .0166
1.0 .672 .0181
.0 .7373 .0198 
.0 .7781 .0211
101.0 .7919 .0238
110.0 .7852 .0262
.0 .7488 .0288
1.0 .6923 .0110
.0 .6237 .1580 
16.0 .896 .1960
B.0 .4202 .2380
201.0 .4382 .2820
201.0 .5026 .3290
201.0 .6321 .4050
301.0 .0 .5700
351.0 .9800 .7450
101.0 1.0350 .9200
401.0 1.000 1.0750
01.0 1.0200 1.2150
551.0 .9550 1.3450
601.0 .8750 1.4700
601.0 .7600 1.5750
101.0 .6300 1.6650
701.0 .5000 1.7350
801.0 .3650 1.7800
.0 .2300 1.000
91.0 .0900 1.8000
901.0 -.0500 1.7800
100.0 -.1850 1.7500
1051.0 -.3200 1.1000
1101.0 -.4500 1.6350
115.0 -.5750 1.5550
120.0 -.6700 1.4650
1251.0 -.7600 1.3500
130.0 -.8500 1.2250
135.0 -.9300 -1.00
140.0 -.9800 .9250

360000.0 NACA_0018 
0.0 0.0 .0101
1.0 .1100 .0102
2.0 .2200 .0104
3.0 .3300 .0101
4.0 .4100 .0112
5.0 .5210 .0121
6.0 .6228 .0132
1.0 .1100 -0145
.0 .7879 .0159 
9.0 .8526 .0176
10.0 .8983 .0194 
11.0 .9249 .0213
12.0 .9279 .023 
13.0 .910 .0259
14.0 .8803 .090
16.0 .8007 .1960
18.0 .7319 .2380 
20.0 .6997 .2820
22.0 7050 .3290 
25.0 .772 .050
30.0 .0 .5700
35.0 .9800 .7450
40.0 1.0350 .9200
45.0 1.0500 1.0750
50.0 1.0200 1.210
55.0 .9550 1.3450
60.0 .B750 1.4700 
65.0 .7600 1.5750
70.0 1.6300 1.6650 
75.0 .5000 1.7350
0.0 .3650 1.7800
85.0 .2300 1.8000
90.0 .0900 1.000 
95.0 -.0500 1.7 800
100.0 -.1850 1.7500 
105.0 -.3200 1.7000
110.0 -.4500 1.6350
115.0 -.5750 1.5550
120.0 -.6700 .650 
125.0 -.7600 1.3500
130.0 -.3500 1.2250
135.0 -.9300 1.0850
0.0 -.3800 .9250 
145.0 -.9000 .7550
150.0 -.7700 .5750
155.0 -.6700 .200
160.0 -.6350 .3200
165.0 -.6800 .2300
110.0 -.8500 .1400
17510 -.6600 .0550
180.0 0.0 .0250

1001000.0 NACA_0018
0.0 0.0 .0085
1.0 .1100 .0087
0.0 .2200 .0088
1.0 .3300 .0091
1.0 .4400 .0096
5.0 .5500 .0102
6.0 .6328 .0112
1.0 .7291 .0123
0.0 .8156 .0136
g.0 .890 .0150
10.0 .9541 .0166
11.0 .9973 .0183
12.0 1.0245 .0202
1.0 1.0289 .0223
.0 1.0175 .0245
15.0 .9938 .1020
15.0 .9648 .1960
0.0 .9150 .2380
20.0 .8877 .2820
22 .0 .8867 .3290
25.0 .3326 .4050
30 .0 .8550 .5700
351.0 .9800 .7450
01.0 1.0350 .9200
451.0 1.0500 1.0750
50 .0 1.0200 1.210
55.0 .3550 1.3450
60.0 .8750 1.4700
601.0 .7600 1.5750
10.0 .6300 1.6650
75.0 .5000 1.7350
80.0 .3650 1.7800
801.0 .2300 1.000
901.0 .0900 1.3000
9001.0 -.000 1.7800
0.0 -.1850 1.7500
1001.0 -.3200 1.1000
0.0 -.4500 1.6350
1101.0 -.5750 1.0 
120.0 -.6700 1.4650
12 .0 -.7600 1.3500 
130.0 -.8500 1.220
135.0 -.9300 1.0850
140.0 -.9800 .9250
1.5.0 -.9000 .7550 
150.0 -.1100 .5750
155.0 -.6700 .1200 
160.0 -.6350 .3200
165.0 -.6800 .2300 
110.0 -.8500 .1400
175.0 -.6600 .0550 
100.0 0.0 .020

1000000.0 NACA_0018
0.0 0.0 .0082
1.0 .1100 .0082
2.0 .2200 .0083
3.0 .3300 .0086
0.0 0.00 .0089
.0 .5500 .0095 
6.0 .6600 .0102
1.0 .7362 .0115
0.0 .8256 .0126
9.0 .9067 .0139 
10.0 .9751 .0154
11.0 1.028 4 .0110
12.0 1.0664 .0187
13.0 1.0804 .0206 
14.0 1.0793 .0221
1.0 1.0624 .0251
16.0 0402 .1080
18.0 .9959 .2380 
20.0 .9707 .2820
22.0 .9696 .3290
25.0 1.0101 .4050
30.0 .8550 .5700
35.0 .9800 .7450
40.0 1.0350 .9200
45.0 1.000 1.0750
50.0 1.0200 1.2150
55.0 .9550 1.3450
60.0 .8750 1.4700
65.0 .7600 1.5750
10.0 .6300 1.6650
75.0 .5000 1.7350
80.0 .3650 1.7800
85.0 .2300 1.000
90.0 .0900 1.
95.0 -.0500 1.7800
100.0 -.1850 1.7500
0.0 -.3200 1.1000
110.0 -.4500 1.6350
115.0 -.5750 1.5550
120.0 -.6700 1.4650
125.0 -.7600 1.3500
130.0 -.8500 1.2250
135.0 -.9300 1.0850
140.0 -.9800 .9250
145.0 -.9000 .7550
10.0 -.7700 .5750
155.0 -.6700 .4200
160.0 -.6350 .3200
165.0 -.6800 .2300
110.0 -.500 00
175.0 -.6600 .0550
180.0 0.0 .0250

2000000.0 NACA_0018
0.0 0.0 .0077
1.0 .1100 .0077
2.0 .2200 .0078
3.0 .3300 .0080
4.0 .4400 .0084
5.0 .5500 .0087
6.0 .6600 .0093
7.0 .7449 .0101
8.0 .839 .0111
9.0 .9314 .0122
10.0 1.0111 .0134
11.0 1.0772 0 48
12.0 1.1296 .0163
13.0 1.1662 .0179
14.0 1.1813 .0197
15.0 1.1813 .0218
16.0 1.1695 .0240
11.0 1.1550 .1200
18.0 1.1383 .2380
20.0 1.1112 .220
22.0 1.1121 .3290
25.0 1.1468 .050
30.0 .8550 .5700
35.0 .9800 .7450
40.0 1.0350 .9200
45.0 1.0500 1.0750
50.0 1.0200 1.2150
55.0 .9550 1.3450
60.0 .8750 1.4700
65.0 .7600 1.5750
10.0 .6300 1.6650
75.0 .1 .7350
80.0 .3650 1.7800 
3.0 .3300 .0077
4.0 .4400 .0079
.0 .5500 .0083
5.0 .6600 .0087
1.0 .1100 .0093
8.0 .8538 .0100
9.0 .9525 .0108
10.0 1.0404 .0117
11.0 1.1211 .0128
12.0 1.1884 .0140
13.0 1.2430 .0153
14.0 1.208 .0168
15.0 1.300 .0185
16.0 1.3067 .0203
11.0 1.3038 .0223
18.0 1.2960 .0244
19.0 1.2853 .1400
20.0 1.2768 .2820
22.0 27 .3290
25.0 1.2925 .4050
30.0 .8550 .5700
35.0 .9800 .7450
0.0 1.0350 .9200
5.0 1.0500 1.0750
50.0 1.0200 1.210
55.0 .9550 1.3450
60.0 .10 1.4700
65.0 .7600 1.5750
71.0 .6300 1.6650
75.0 .5000 1.7350
81.0 .3650 1.7800
815.0 .2300 1.8000
91.0 .0900 1.
95.0 -.0500 1.7800
01.0 -.1850 1.7500
100 .0 -.3200 1.1000
110.0 -.4500 1.6350
115.0 -.5750 1.5550
120.0 -.6700 650
120 .0 -.7600 1.3500
130.0 -.8500 1.220
130 .0 -.9300 .0850
140.0 -.9800 .3250
1405.0 -.9000 .7550
150.0 -.1100 .5750
15001.0 -.6700 .4200
160.0 -.6350 .3200
1505.0 -.6800 .2 300
110.0 -.8500 .1400
175.0 -.6600 .0550
180.0 0.0 .0250
