------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------						
Generated with OWENS driver						
======  Blade Properties =================================================================						
10   NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn   BlCrvAC  BlSwpAC   BlCrvAng  BlTwist   BlChord   BlAFID						
    (m)      (m)      (m)      (deg)      (deg)      (m)      (-)						
0.0 0.0 -0.0 0.0 0.0 6.0 1	
12.242545466666666 22.08032449718043 -0.0 0.0 0.0 5.967472230723904 2	
24.485090933333332 35.96498748650755 -0.0 0.0 0.0 4.113303561013382 3	
36.727636399999994 47.52028089625599 -0.0 0.0 0.0 3.2697611196487406 4	
48.970181866666664 53.29001393069511 -0.0 0.0 0.0 3.006916134855425 5	
61.21272733333333 53.2900139306951 -0.0 0.0 0.0 3.0657470684598227 6	
73.45527279999999 47.52028089625601 -0.0 0.0 0.0 3.4653349433537555 7	
85.69781826666667 35.965041753173104 -0.0 0.0 0.0 4.566758516755366 8	
97.94036373333333 22.080324497180445 -0.0 0.0 0.0 6.0 9	
110.1829092 8.861458677955609e-16 -0.0 0.0 0.0 6.0 10	

