Normalized Time (-),Theta (rad),Blade,Element,Rev,x/R (-),y/R (-),z/R (-),AOA25 (deg),AOA50 (deg),AOA75 (deg),AdotNorm (-),Re (-),Mach (-),Ur (-),IndU (-),IndV (-),IndW (-),GB (?),CL (-),CD (-),CM25 (-),CLCirc (-),CN (-),CT (-),Fx (-),Fy (-),Fz (-),te (-)
0.0000000E+00,0.0000000E+00,0.2000000E+01,0.1000000E+01,0.1000000E+01,0.2308120E-16,0.1223400E+00,-.1884725E+00,-.2980745E-14,0.1011491E+01,0.2022351E+01,0.7286653E-02,0.1432699E+08,0.1014486E+00,0.1284706E+01,0.1997694E-02,-.1287698E-18,0.1540974E-18,0.1587486E-01,0.2453156E+00,0.8868604E-02,0.2779433E-01,0.2224586E+00,0.2454340E+00,0.4536684E-02,0.1157800E-03,0.5253872E-02,0.3410358E-02,-.6472638E-04
0.0000000E+00,0.0000000E+00,0.2000000E+01,0.2000000E+01,0.1000000E+01,0.6454015E-16,0.3670200E+00,-.5270105E+00,-.2479447E-14,0.7310279E+00,0.1461818E+01,0.3279865E-02,0.1738357E+08,0.1416096E+00,0.1793289E+01,0.2773443E-02,-.1745469E-18,0.2036428E-18,0.1392293E-01,0.1710909E+00,0.7872132E-02,0.2009509E-01,0.1608000E+00,0.1711774E+00,0.5688629E-02,0.2118720E-03,0.4941450E-02,0.4028488E-02,-.1573265E-03
0.0000000E+00,0.0000000E+00,0.2000000E+01,0.3000000E+01,0.1000000E+01,0.9494295E-16,0.6117000E+00,-.7752670E+00,-.2530490E-14,0.5635911E+00,0.1127073E+01,0.1579573E-02,0.1582433E+08,0.1709517E+00,0.2164866E+01,0.1965732E-02,-.6707076E-19,0.1605462E-18,0.9771824E-02,0.1289344E+00,0.7422513E-02,0.1549501E-01,0.1239780E+00,0.1290012E+00,0.6153908E-02,0.2040743E-03,0.2677686E-02,0.3336233E-02,-.1873920E-03
0.0000000E+00,0.0000000E+00,0.2000000E+01,0.4000000E+01,0.1000000E+01,0.1133500E-15,0.8563800E+00,-.9255710E+00,-.2702486E-14,0.4978722E+00,0.9956693E+00,0.1044928E-02,0.1444562E+08,0.1887500E+00,0.2390257E+01,0.1900888E-02,-.3001561E-19,0.1663723E-18,0.7880425E-02,0.1128022E+00,0.7275883E-02,0.1368890E-01,0.1095236E+00,0.1128612E+00,0.6295425E-02,0.1783692E-03,0.1253169E-02,0.2941927E-02,-.1865758E-03
0.0000000E+00,0.0000000E+00,0.2000000E+01,0.5000000E+01,0.1000000E+01,0.1210985E-15,0.1101060E+01,-.9888420E+00,-.2813220E-14,0.4836976E+00,0.9673263E+00,0.9111523E-03,0.1401548E+08,0.1962454E+00,0.2485176E+01,0.1913100E-02,-.8044800E-20,0.1715795E-18,0.7428126E-02,0.1092646E+00,0.7249172E-02,0.1329932E-01,0.1064059E+00,0.1093219E+00,0.6326501E-02,0.1670451E-03,0.2621781E-03,0.2874608E-02,-.1848278E-03
0.0000000E+00,0.0000000E+00,0.2000000E+01,0.6000000E+01,0.1000000E+01,0.1190760E-15,0.1345740E+01,-.9723290E+00,-.2783133E-14,0.4869685E+00,0.9738668E+00,0.9429306E-03,0.1412103E+08,0.1942887E+00,0.2460397E+01,0.1903714E-02,0.1120750E-19,0.1687784E-18,0.7534668E-02,0.1100838E+00,0.7255268E-02,0.1338922E-01,0.1071253E+00,0.1101415E+00,0.6319392E-02,0.1699367E-03,-.6534090E-03,0.2888875E-02,-.1853128E-03
0.0000000E+00,0.0000000E+00,0.2000000E+01,0.7000000E+01,0.1000000E+01,0.1076524E-15,0.1590420E+01,-.8790495E+00,-.2666825E-14,0.5184979E+00,0.1036911E+01,0.1183110E-02,0.1480166E+08,0.1832390E+00,0.2320468E+01,0.1893961E-02,0.3532377E-19,0.1597067E-18,0.8409113E-02,0.1177724E+00,0.7319820E-02,0.1425577E-01,0.1140602E+00,0.1178338E+00,0.6253754E-02,0.1840022E-03,-.1638528E-02,0.3055360E-02,-.1852355E-03
0.0000000E+00,0.0000000E+00,0.2000000E+01,0.8000000E+01,0.1000000E+01,0.8711260E-16,0.1835100E+01,-.7113285E+00,-.2606930E-14,0.6356174E+00,0.1271078E+01,0.2040884E-02,0.1656032E+08,0.1633864E+00,0.2069063E+01,0.2069863E-02,0.7837141E-19,0.1596179E-18,0.1153292E-01,0.1462216E+00,0.7602735E-02,0.1747410E-01,0.1398186E+00,0.1462970E+00,0.5980173E-02,0.2014930E-03,-.3158600E-02,0.3784288E-02,-.1793669E-03
0.0000000E+00,0.0000000E+00,0.2000000E+01,0.9000000E+01,0.1000000E+01,0.5722640E-16,0.2079780E+01,-.4672890E+00,-.2697246E-14,0.8324064E+00,0.1664461E+01,0.4115510E-02,0.1730245E+08,0.1345809E+00,0.1704280E+01,0.3346632E-02,0.2065635E-18,0.2327998E-18,0.1577900E-01,0.1960007E+00,0.8196673E-02,0.2287910E-01,0.1830908E+00,0.1960991E+00,0.5348364E-02,0.1823580E-03,-.5064388E-02,0.4365464E-02,-.1367244E-03
0.0000000E+00,0.0000000E+00,0.2000000E+01,0.1000000E+02,0.1000000E+01,0.1992270E-16,0.2324460E+01,-.1626810E+00,-.3392414E-14,0.1150795E+01,0.2300663E+01,0.8543677E-02,0.1390064E+08,0.9842965E-01,0.1246475E+01,0.2453671E-02,0.1529856E-18,0.1769127E-18,0.1752210E-01,0.2798626E+00,0.9502493E-02,0.3161498E-01,0.2530729E+00,0.2799970E+00,0.3879866E-02,0.8443877E-04,-.4870197E-02,0.3662504E-02,-.5967800E-04
0.2094395E+00,0.3141593E+00,0.1000000E+01,0.1000000E+01,0.1000000E+01,0.5824121E-01,0.1223400E+00,0.1792480E+00,-.1657924E+03,-.1676163E+03,-.1694662E+03,-.2299977E+01,0.7762393E+07,0.5496507E-01,0.6960565E+00,0.6249796E-02,-.2780043E-02,-.1534984E-02,0.2618193E-01,-.6543043E+01,0.2798845E+00,-.1535758E-01,0.6771742E+00,0.6330786E+01,-.1676573E+01,0.3965818E-02,0.3978173E-01,-.2844032E-01,0.2374223E-02
0.2094395E+00,0.3141593E+00,0.1000000E+01,0.2000000E+01,0.1000000E+01,0.1628552E+00,0.3670200E+00,0.5012168E+00,-.1307819E+03,-.1343206E+03,-.1383709E+03,-.4755781E+01,0.2510740E+07,0.2045292E-01,0.2590079E+00,0.8211143E-02,-.1123735E-02,-.2683484E-02,0.1144148E-01,-.1374305E+02,0.1140630E+01,-.7786531E-02,0.9149023E+00,0.8785844E+01,-.1062927E+02,0.6521319E-02,0.5290747E-02,-.6654124E-02,0.4352622E-02
0.2094395E+00,0.3141593E+00,0.1000000E+01,0.3000000E+01,0.1000000E+01,0.2395707E+00,0.6117000E+00,0.7373227E+00,-.4955718E+02,-.4692133E+02,-.4399807E+02,-.5636438E+00,0.2311840E+07,0.2497502E-01,0.3162740E+00,0.6246385E-02,0.3641390E-04,-.2394429E-02,-.1378586E-01,-.2941239E+01,0.7589398E+00,-.1455166E-02,-.1197211E+01,-.2563214E+01,-.1629972E+01,0.1534421E-02,-.1135574E-02,0.9891041E-03,0.8944620E-03
0.2094395E+00,0.3141593E+00,0.1000000E+01,0.4000000E+01,0.1000000E+01,0.2860172E+00,0.8563800E+00,0.8802703E+00,-.3337524E+02,-.3140982E+02,-.2935849E+02,-.1722046E+00,0.3123766E+07,0.4081588E-01,0.5168766E+00,0.5388756E-02,-.9914098E-04,-.1743433E-02,-.2201790E-01,-.1974756E+01,0.2941805E+00,-.3794386E-02,-.1415116E+01,-.1838692E+01,-.7780840E+00,0.1672988E-02,-.9546810E-03,0.1812951E-02,0.9544256E-03
0.2094395E+00,0.3141593E+00,0.1000000E+01,0.5000000E+01,0.1000000E+01,0.3055690E+00,0.1101060E+01,0.9404446E+00,-.3028608E+02,-.2855600E+02,-.2676714E+02,-.1217281E+00,0.3442389E+07,0.4820048E-01,0.6103923E+00,0.4899218E-02,-.1081422E-04,-.1495760E-02,-.2670705E-01,-.1956095E+01,0.8158989E-01,-.2805550E-01,-.1557616E+01,-.1757138E+01,-.8633828E+00,0.2169246E-02,-.2542137E-03,0.2225892E-02,0.1362392E-02
0.2094395E+00,0.3141593E+00,0.1000000E+01,0.6000000E+01,0.1000000E+01,0.3004662E+00,0.1345740E+01,0.9247398E+00,-.3098606E+02,-.2920002E+02,-.2734952E+02,-.1324938E+00,0.3361497E+07,0.4625022E-01,0.5856950E+00,0.5097418E-02,0.1136816E-03,-.1543708E-02,-.2535388E-01,-.1946588E+01,0.1662554E+00,-.3400822E-01,-.1514280E+01,-.1780329E+01,-.8045344E+00,0.1983690E-02,0.5985041E-03,0.2137763E-02,0.1194962E-02
0.2094395E+00,0.3141593E+00,0.1000000E+01,0.7000000E+01,0.1000000E+01,0.2716412E+00,0.1590420E+01,0.8360258E+00,-.3699074E+02,-.3480690E+02,-.3250091E+02,-.2342869E+00,0.2886283E+07,0.3573110E-01,0.4524849E+00,0.5766348E-02,0.7317653E-04,-.2003577E-02,-.1982079E-01,-.2140589E+01,0.3687858E+00,0.1183375E-01,-.1378721E+01,-.1968103E+01,-.9190718E+00,0.1577526E-02,0.1040612E-02,0.1527716E-02,0.9031202E-03
0.2094395E+00,0.3141593E+00,0.1000000E+01,0.8000000E+01,0.1000000E+01,0.2198126E+00,0.1835100E+01,0.6765136E+00,-.6533086E+02,-.6304148E+02,-.6032565E+02,-.1215427E+01,0.2085017E+07,0.2057106E-01,0.2605040E+00,0.6669996E-02,-.7867230E-04,-.2796318E-02,-.1155883E-01,-.3438393E+01,0.1276338E+01,-.7079436E-02,-.1113009E+01,-.2696424E+01,-.2486138E+01,0.1604537E-02,0.9228457E-03,0.6412060E-03,0.9447777E-03
0.2094395E+00,0.3141593E+00,0.1000000E+01,0.9000000E+01,0.1000000E+01,0.1444002E+00,0.2079780E+01,0.4444182E+00,-.1420976E+03,-.1456501E+03,-.1495312E+03,-.4089662E+01,0.3349537E+07,0.2605316E-01,0.3299272E+00,0.9680260E-02,0.1296708E-02,-.3243513E-02,0.1668428E-01,-.1181062E+02,0.8047857E+00,0.2082726E-01,0.1000039E+01,0.9296839E+01,-.7328514E+01,0.6509183E-02,-.8997897E-02,-.1027023E-01,0.4374066E-02
0.2094395E+00,0.3141593E+00,0.1000000E+01,0.1000000E+02,0.1000000E+01,0.5027119E-01,0.2324460E+01,0.1547188E+00,-.1652268E+03,-.1671197E+03,-.1690417E+03,-.2162736E+01,0.8240798E+07,0.5835263E-01,0.7389552E+00,0.7292502E-02,0.2970829E-02,-.1802087E-02,0.2761538E-01,-.6115971E+01,0.2887075E+00,-.1592555E-01,0.6727848E+00,0.5897724E+01,-.1644781E+01,0.3586493E-02,-.3605343E-01,-.2967366E-01,0.2054762E-02
0.2094395E+00,0.3141593E+00,0.2000000E+01,0.1000000E+01,0.1000000E+01,-.5824121E-01,0.1223400E+00,-.1792480E+00,0.7626932E+01,0.8657888E+01,0.9683227E+01,0.2845360E-01,0.1389850E+08,0.9841447E-01,0.1246283E+01,0.1266843E-02,-.3065392E-02,-.9297938E-03,0.7373712E-01,0.1151935E+01,0.2721384E-01,0.2787550E-01,0.1065155E+01,0.1142905E+01,-.1465020E+00,0.1271972E-02,0.2302399E-01,0.1530100E-01,0.6226555E-03
0.2094395E+00,0.3141593E+00,0.2000000E+01,0.2000000E+01,0.1000000E+01,-.1628552E+00,0.3670200E+00,-.5012168E+00,0.6294143E+01,0.7036022E+01,0.7775538E+01,0.1448419E-01,0.1700172E+08,0.1384989E+00,0.1753897E+01,0.1156048E-02,-.2491539E-02,-.2112660E-02,0.7243049E-01,0.8995758E+00,0.1893138E-01,0.2018353E-01,0.8553092E+00,0.8951203E+00,-.9140323E-01,0.3129828E-02,0.2471706E-01,0.2017048E-01,0.1672270E-02
0.2094395E+00,0.3141593E+00,0.2000000E+01,0.3000000E+01,0.1000000E+01,-.2395707E+00,0.6117000E+00,-.7373227E+00,0.6426300E+01,0.6994496E+01,0.7561313E+01,0.9158871E-02,0.1558002E+08,0.1683124E+00,0.2131444E+01,0.3305381E-02,-.1514891E-02,-.3075689E-02,0.6454514E-01,0.8595818E+00,0.1645440E-01,0.1547146E-01,0.8317444E+00,0.8551883E+00,-.8834276E-01,0.3924252E-02,0.1720732E-01,0.2126752E-01,0.2173391E-02
0.2094395E+00,0.3141593E+00,0.2000000E+01,0.4000000E+01,0.1000000E+01,-.2860172E+00,0.8563800E+00,-.8802703E+00,0.6867954E+01,0.7367736E+01,0.7866392E+01,0.7298274E-02,0.1427216E+08,0.1864835E+00,0.2361556E+01,0.4401294E-02,-.7355210E-03,-.3272278E-02,0.6151254E-01,0.8873172E+00,0.1601590E-01,0.1359984E-01,0.8653031E+00,0.8820450E+00,-.9790337E-01,0.4360165E-02,0.9560105E-02,0.2218149E-01,0.2485329E-02
0.2094395E+00,0.3141593E+00,0.2000000E+01,0.5000000E+01,0.1000000E+01,-.3055690E+00,0.1101060E+01,-.9404446E+00,0.7150601E+01,0.7635134E+01,0.8118571E+01,0.6807710E-02,0.1386777E+08,0.1941771E+00,0.2458984E+01,0.4761130E-02,-.1754819E-03,-.3273069E-02,0.6168568E-01,0.9134778E+00,0.1617354E-01,0.1317665E-01,0.8930428E+00,0.9075280E+00,-.1053383E+00,0.4629800E-02,0.2130819E-02,0.2306100E-01,0.2673598E-02
0.2094395E+00,0.3141593E+00,0.2000000E+01,0.6000000E+01,0.1000000E+01,-.3004662E+00,0.1345740E+01,-.9247398E+00,0.7074127E+01,0.7562231E+01,0.8049233E+01,0.6926577E-02,0.1396615E+08,0.1921578E+00,0.2433412E+01,0.4555390E-02,0.3372467E-03,-.3254864E-02,0.6159275E-01,0.9062354E+00,0.1611596E-01,0.1327609E-01,0.8854157E+00,0.9004743E+00,-.1032875E+00,0.4555283E-02,-.5225484E-02,0.2281193E-01,0.2622287E-02
0.2094395E+00,0.3141593E+00,0.2000000E+01,0.7000000E+01,0.1000000E+01,-.2716412E+00,0.1590420E+01,-.8360258E+00,0.6775843E+01,0.7296970E+01,0.7816886E+01,0.7838301E-02,0.1460832E+08,0.1808455E+00,0.2290157E+01,0.3724174E-02,0.9644583E-03,-.3199497E-02,0.6256511E-01,0.8835473E+00,0.1622721E-01,0.1418189E-01,0.8598574E+00,0.8784527E+00,-.9612545E-01,0.4235997E-02,-.1189822E-01,0.2195199E-01,0.2398901E-02
0.2094395E+00,0.3141593E+00,0.2000000E+01,0.8000000E+01,0.1000000E+01,-.2198126E+00,0.1835100E+01,-.6765136E+00,0.6616148E+01,0.7257401E+01,0.7896831E+01,0.1081884E-01,0.1628430E+08,0.1606631E+00,0.2034576E+01,0.2174159E-02,0.1853328E-02,-.2942719E-02,0.7045636E-01,0.9015020E+00,0.1789325E-01,0.1744345E-01,0.8686514E+00,0.8965401E+00,-.9613423E-01,0.3950763E-02,-.1871671E-01,0.2229463E-01,0.2193110E-02
0.2094395E+00,0.3141593E+00,0.2000000E+01,0.9000000E+01,0.1000000E+01,-.1444002E+00,0.2079780E+01,-.4444182E+00,0.6846487E+01,0.7691456E+01,0.8533074E+01,0.1739415E-01,0.1689364E+08,0.1314011E+00,0.1664013E+01,-.4119219E-03,0.2914495E-02,-.1775133E-02,0.7898178E-01,0.9915984E+00,0.2179667E-01,0.2293625E-01,0.9386381E+00,0.9855944E+00,-.1111134E+00,0.3028633E-02,-.2426504E-01,0.2100861E-01,0.1638441E-02
0.2094395E+00,0.3141593E+00,0.2000000E+01,0.1000000E+02,0.1000000E+01,-.5027119E-01,0.2324460E+01,-.1547188E+00,0.8693165E+01,0.9862034E+01,0.1102267E+02,0.3338512E-01,0.1348622E+08,0.9549516E-01,0.1209314E+01,0.1765237E-03,0.3327192E-02,-.5674273E-03,0.8144704E-01,0.1313529E+01,0.3171593E-01,0.2265649E-01,0.1212494E+01,0.1299551E+01,-.1937291E+00,0.1170067E-02,-.2127636E-01,0.1644357E-01,0.6146169E-03
0.4188790E+00,0.6283185E+00,0.1000000E+01,0.1000000E+01,0.1000000E+01,0.1107814E+00,0.1223400E+00,0.1524775E+00,-.1493145E+03,-.1511394E+03,-.1530306E+03,0.1219562E+00,0.6956759E+07,0.4926042E-01,0.6238150E+00,0.4706474E-02,-.1877594E-02,-.1080897E-01,0.2205942E-01,0.1032873E+01,0.3510712E+00,0.8281712E-02,0.6366220E+00,-.1074042E+01,0.1910812E+00,0.1138082E-02,-.5420878E-02,0.3522567E-02,-.2197171E-03
0.4188790E+00,0.6283185E+00,0.1000000E+01,0.2000000E+01,0.1000000E+01,0.3097690E+00,0.3670200E+00,0.4263605E+00,-.9457089E+02,-.9487422E+02,-.9522055E+02,0.4727616E+00,0.3559951E+07,0.2899998E-01,0.3672445E+00,0.5129288E-02,0.1910073E-02,-.1125530E-01,0.2718265E-02,0.3144861E+00,0.1755646E+01,-.2013045E-03,0.1533000E+00,-.1776018E+01,0.1641740E+00,0.8228575E-03,-.2150134E-02,0.1568843E-02,-.1351257E-03
0.4188790E+00,0.6283185E+00,0.1000000E+01,0.3000000E+01,0.1000000E+01,0.4556905E+00,0.6117000E+00,0.6272042E+00,-.5250034E+02,-.5116371E+02,-.4974487E+02,-.3045598E-01,0.4184721E+07,0.4520792E-01,0.5724957E+00,0.1722523E-02,0.1156972E-02,-.6770116E-02,-.2575894E-01,-.1343525E+01,0.9583436E+00,-.2611711E-02,-.1235822E+01,-.1589014E+01,-.4455518E+00,0.2525181E-02,-.2306619E-02,0.1717693E-02,0.8014114E-03
0.4188790E+00,0.6283185E+00,0.1000000E+01,0.4000000E+01,0.1000000E+01,0.5440370E+00,0.8563800E+00,0.7488027E+00,-.4294828E+02,-.4182079E+02,-.4065216E+02,-.3601368E-01,0.4754174E+07,0.6211918E-01,0.7866534E+00,0.3732286E-04,0.9578876E-03,-.5960277E-02,-.2716408E-01,-.1278594E+01,0.6414335E+00,0.6531786E-03,-.1147135E+01,-.1380561E+01,-.3745520E+00,0.3220987E-02,-.1660344E-02,0.2477772E-02,0.1063773E-02
0.4188790E+00,0.6283185E+00,0.1000000E+01,0.5000000E+01,0.1000000E+01,0.5812267E+00,0.1101060E+01,0.7999900E+00,-.4082378E+02,-.3978227E+02,-.3870825E+02,-.3151267E-01,0.5002479E+07,0.7004493E-01,0.8870220E+00,-.7750581E-03,0.3561099E-03,-.6196753E-02,-.2742071E-01,-.1215123E+01,0.5725036E+00,0.2269754E-02,-.1100495E+01,-.1300129E+01,-.3375646E+00,0.3478574E-02,-.3972191E-03,0.2856043E-02,0.1122389E-02
0.4188790E+00,0.6283185E+00,0.1000000E+01,0.6000000E+01,0.1000000E+01,0.5715206E+00,0.1345740E+01,0.7866307E+00,-.4130980E+02,-.4024694E+02,-.3914962E+02,-.3266858E-01,0.4938576E+07,0.6794898E-01,0.8604796E+00,-.5917773E-03,-.4365033E-03,-.6133078E-02,-.2733017E-01,-.1229948E+01,0.5881692E+00,0.1926300E-02,-.1111054E+01,-.1318785E+01,-.3457184E+00,0.3406749E-02,0.9569272E-03,0.2754409E-02,0.1105298E-02
0.4188790E+00,0.6283185E+00,0.1000000E+01,0.7000000E+01,0.1000000E+01,0.5166923E+00,0.1590420E+01,0.7111660E+00,-.4543976E+02,-.4424343E+02,-.4299639E+02,-.3856564E-01,0.4596169E+07,0.5689883E-01,0.7205449E+00,0.4217976E-03,-.8575663E-03,-.6191629E-02,-.2755240E-01,-.1345995E+01,0.7237392E+00,0.6700161E-03,-.1203533E+01,-.1469205E+01,-.4206383E+00,0.3124486E-02,0.1969870E-02,0.2270266E-02,0.1048893E-02
0.4188790E+00,0.6283185E+00,0.1000000E+01,0.8000000E+01,0.1000000E+01,0.4181084E+00,0.1835100E+01,0.5754768E+00,-.6058699E+02,-.5927613E+02,-.5785595E+02,0.1600516E-01,0.4102990E+07,0.4048066E-01,0.5126315E+00,0.1970023E-02,-.1090232E-02,-.7873372E-02,-.1596860E-01,-.7703477E+00,0.1493352E+01,-.2902292E-02,-.7813776E+00,-.1677315E+01,0.1007337E+00,0.1396918E-02,0.2222989E-02,0.2277151E-02,-.1478347E-03
0.4188790E+00,0.6283185E+00,0.1000000E+01,0.9000000E+01,0.1000000E+01,0.2746656E+00,0.2079780E+01,0.3780447E+00,-.1078777E+03,-.1090453E+03,-.1103692E+03,0.4161813E+00,0.4025679E+07,0.3131229E-01,0.3965268E+00,0.6473118E-02,-.1738899E-02,-.1430425E-01,0.1078372E-01,0.1101786E+01,0.1562964E+01,-.2777954E-02,0.5378041E+00,-.1836939E+01,0.5314557E+00,0.5075801E-03,0.2568084E-02,0.2367467E-02,-.4580352E-03
0.4188790E+00,0.6283185E+00,0.1000000E+01,0.1000000E+02,0.1000000E+01,0.9562149E-01,0.2324460E+01,0.1316117E+00,-.1487405E+03,-.1505901E+03,-.1525096E+03,0.1132371E+00,0.7536443E+07,0.5336513E-01,0.6757955E+00,0.5945739E-02,0.2278177E-02,-.1340915E-01,0.2400726E-01,0.1009084E+01,0.3597711E+00,0.8360461E-02,0.6395442E+00,-.1055709E+01,0.1821076E+00,0.1443409E-02,0.5397601E-02,0.3968656E-02,-.1930904E-03
0.4188790E+00,0.6283185E+00,0.2000000E+01,0.1000000E+01,0.1000000E+01,-.1107814E+00,0.1223400E+00,-.1524775E+00,0.1564375E+02,0.1673369E+02,0.1781131E+02,0.3294747E-01,0.1273481E+08,0.9017448E-01,0.1141935E+01,0.1753430E-02,-.9296619E-02,-.1104118E-01,0.1242758E+00,0.2054652E+01,0.3642536E-01,-.5260741E-02,0.1959244E+01,0.1978132E+01,-.5567001E+00,0.3683488E-02,0.3345607E-01,0.2416721E-01,0.2122043E-02
0.4188790E+00,0.6283185E+00,0.2000000E+01,0.2000000E+01,0.1000000E+01,-.3097690E+00,0.3670200E+00,-.4263605E+00,0.1244726E+02,0.1322119E+02,0.1399024E+02,0.1516285E-01,0.1598604E+08,0.1302250E+00,0.1649120E+01,0.1698578E-02,-.1079269E-01,-.1607740E-01,0.1225362E+00,0.1582304E+01,0.2638477E-01,0.9826243E-02,0.1538926E+01,0.1546399E+01,-.3362048E+00,0.9522995E-02,0.3775142E-01,0.3112314E-01,0.5561869E-02
