Normalized Time (-),Theta (rad),Blade,Element,Rev,x/R (-),y/R (-),z/R (-),AOA25 (deg),AOA50 (deg),AOA75 (deg),AdotNorm (-),Re (-),Mach (-),Ur (-),IndU (-),IndV (-),IndW (-),GB (?),CL (-),CD (-),CM25 (-),CLCirc (-),CN (-),CT (-),Fx (-),Fy (-),Fz (-),te (-)
0.0000000E+00,0.0000000E+00,0.1000000E+01,0.1000000E+01,0.1000000E+01,0.0000000E+00,0.1223400E+00,0.1884725E+00,-.1800000E+03,0.1781920E+03,0.1763877E+03,0.1136235E+01,0.8013581E+07,0.5674372E-01,0.7185806E+00,0.1289350E-02,-.7288421E-19,0.1075964E-18,-.3245780E-01,0.2756645E+01,0.1881157E+00,0.5951479E-01,-.8131804E+00,-.2749337E+01,-.2749936E+00,0.2195638E-02,-.1841264E-01,0.1195189E-01,0.3850752E-03
0.0000000E+00,0.0000000E+00,0.1000000E+01,0.2000000E+01,0.1000000E+01,0.0000000E+00,0.3670200E+00,0.5270105E+00,-.1800000E+03,0.1738147E+03,0.1677704E+03,0.3197204E+01,0.2046664E+07,0.1667248E-01,0.2111338E+00,0.1649587E-02,-.1016378E-18,0.1264547E-18,-.6817493E-02,0.9383783E+01,0.3859490E+00,0.1718744E-01,-.6687636E+00,-.9287574E+01,-.1394746E+01,0.7200722E-03,-.3716425E-02,0.3029793E-02,0.3789442E-03
0.0000000E+00,0.0000000E+00,0.1000000E+01,0.3000000E+01,0.1000000E+01,0.0000000E+00,0.6117000E+00,0.7752670E+00,-.3422256E-16,0.7503226E+01,0.1475758E+02,0.2769270E+00,0.1181851E+07,0.1276765E-01,0.1616845E+00,0.1215951E-02,-.4244534E-19,0.8976505E-19,0.9229438E-02,0.2423865E+01,0.1188159E+00,0.5985945E-01,0.1567859E+01,0.2418626E+01,-.1987147E+00,0.3675717E-04,0.2800332E-03,-.3489043E-03,0.2786784E-04
0.0000000E+00,0.0000000E+00,0.1000000E+01,0.4000000E+01,0.1000000E+01,0.0000000E+00,0.8563800E+00,0.9255710E+00,-.1173320E-16,0.3070830E+01,0.6124118E+01,0.3967874E-01,0.2339878E+07,0.3057342E-01,0.3871699E+00,0.1186552E-02,-.1890478E-19,0.7812646E-19,0.7851182E-02,0.7973366E+00,0.2712273E-01,0.8384486E-01,0.6736530E+00,0.7976447E+00,-.1562989E-01,0.1161889E-04,0.2323744E-03,-.5455200E-03,0.7301839E-05
0.0000000E+00,0.0000000E+00,0.1000000E+01,0.5000000E+01,0.1000000E+01,0.0000000E+00,0.1101060E+01,0.9888420E+00,-.8879728E-17,0.2491773E+01,0.4974157E+01,0.2415103E-01,0.2719004E+07,0.3807161E-01,0.4821242E+00,0.1138755E-02,-.3759462E-20,0.7468710E-19,0.7410159E-02,0.6225114E+00,0.2013172E-01,0.6820099E-01,0.5471572E+00,0.6227980E+00,-.6951583E-02,0.6908085E-05,0.5621344E-04,-.6163428E-03,0.3039145E-05
0.0000000E+00,0.0000000E+00,0.1000000E+01,0.6000000E+01,0.1000000E+01,0.0000000E+00,0.1345740E+01,0.9723290E+00,-.9632397E-17,0.2618082E+01,0.5225277E+01,0.2721848E-01,0.2624775E+07,0.3611380E-01,0.4573313E+00,0.1162201E-02,0.9990508E-20,0.7656764E-19,0.7514491E-02,0.6596883E+00,0.2153598E-01,0.7162302E-01,0.5747804E+00,0.6599834E+00,-.8619911E-02,0.8008774E-05,-.1352754E-03,-.5980842E-03,0.4076269E-05
0.0000000E+00,0.0000000E+00,0.1000000E+01,0.7000000E+01,0.1000000E+01,0.0000000E+00,0.1590420E+01,0.8790495E+00,-.1571669E-16,0.3785877E+01,0.7538981E+01,0.6289795E-01,0.2024278E+07,0.2505980E-01,0.3173477E+00,0.1226566E-02,0.2702200E-19,0.8428741E-19,0.8361440E-02,0.1025068E+01,0.3782705E-01,0.1029851E+00,0.8292879E+00,0.1025329E+01,-.2993863E-01,0.1647531E-04,-.2666654E-03,-.4972503E-03,0.1130898E-04
0.0000000E+00,0.0000000E+00,0.1000000E+01,0.8000000E+01,0.1000000E+01,0.0000000E+00,0.1835100E+01,0.7113285E+00,-.9940640E-16,0.1928280E+02,0.3498109E+02,0.1771251E+01,0.5251315E+06,0.5181019E-02,0.6561043E-01,0.1382322E-02,0.5537719E-19,0.1020518E-18,0.2669242E-02,0.6515889E+01,0.7523249E+00,0.8988323E-01,0.1020503E+01,0.6398790E+01,-.1441629E+01,0.4884253E-04,-.1389171E-03,-.1664352E-03,0.3455668E-04
0.0000000E+00,0.0000000E+00,0.1000000E+01,0.9000000E+01,0.1000000E+01,0.0000000E+00,0.2079780E+01,0.4672890E+00,-.1800000E+03,0.1753008E+03,0.1706640E+03,0.2387406E+01,0.3058250E+07,0.2378750E-01,0.3012357E+00,0.2169220E-02,0.1287229E-18,0.1548080E-18,-.1056975E-01,0.6810551E+01,0.3141810E+00,0.5094654E-01,-.6938828E+00,-.6761918E+01,-.8710780E+00,0.9278803E-03,0.5455723E-02,0.4702792E-02,0.4300048E-03
0.0000000E+00,0.0000000E+00,0.1000000E+01,0.1000000E+02,0.1000000E+01,0.0000000E+00,0.2324460E+01,0.1626810E+00,-.1800000E+03,0.1781071E+03,0.1762183E+03,0.1076648E+01,0.8448971E+07,0.5982669E-01,0.7576221E+00,0.1643642E-02,0.9183086E-19,0.1245378E-18,-.3386609E-01,0.2577923E+01,0.1932985E+00,0.6229588E-01,-.8047403E+00,-.2570131E+01,-.2783456E+00,0.2237935E-02,0.1651530E-01,0.1241990E-01,0.3306263E-03
