'span_loc','chord','tw_aero','ei_flap','ei_lag','gj','ea','s_fl','s_af','s_al','s_ft','s_lt','s_at','x_sc','y_sc','x_tc','y_tc','mass','flap_iner','lag_iner','tw_iner','x_cm','y_cm',,,,,,,,,,,,,,,,,,,,,,,,
'(-)','(m)','(deg)','(Nm^2)','(Nm^2)','(Nm^2)','(N)','(Nm^2)','(Nm)','(Nm)','(Nm^2)','(Nm^2)','(Nm)','(m)','(m)','(m)','(m)','(Kg/m)',' (Kg-m)',' (Kg-m)','(deg)','(m)','(m)',,,,,,,,,,,,,,,,,,,,,,,,
0,6,0,5804000000,15310000000,1218000000,6388000000,-7833000,-545500,-2562000,0,0,0,0.009,-0.039,0.009,-0.039,137.7,114.4,373.8,-0.214,0.007,0.23,,,,,,,,,,,,,,,,,,,,,,,,
0.050018918,6,0,6231000000,15470000000,1229000000,6715000000,-8422000,-523800,-2512000,0,0,0,0.01,-0.038,0.01,-0.038,143.3,121.3,378.6,-0.224,0.008,0.226,,,,,,,,,,,,,,,,,,,,,,,,
0.099962164,6,0,6231000000,15470000000,1229000000,6715000000,-8422000,-523800,-2512000,0,0,0,0.01,-0.038,0.01,-0.038,143.3,121.3,378.6,-0.224,0.008,0.226,,,,,,,,,,,,,,,,,,,,,,,,
0.149981082,5.498,0,4437000000,11010000000,930500000,5695000000,-6539000,-439600,-1858000,0,0,0,0.009,-0.03,0.009,-0.03,123.7,87.57,275.2,-0.232,0.007,0.219,,,,,,,,,,,,,,,,,,,,,,,,
0.2,4.431,0,1949000000,4832000000,469500000,3851000000,-3491000,-286100,-798300,0,0,0,0.007,-0.015,0.007,-0.015,87.77,39.9,127.9,-0.251,0.005,0.205,,,,,,,,,,,,,,,,,,,,,,,,
0.250018918,3.806,0,1008000000,2725000000,287900000,2783000000,-2070000,-224700,-379000,0,0,0,0.006,-0.008,0.006,-0.008,66.86,21.67,74.86,-0.249,0.004,0.199,,,,,,,,,,,,,,,,,,,,,,,,
0.299962164,3.435,0,734100000,1816000000,209900000,2413000000,-1654000,-172300,-111800,0,0,0,0.005,-0.002,0.005,-0.001,58.51,15.79,51.62,-0.273,0.004,0.184,,,,,,,,,,,,,,,,,,,,,,,,
0.349981082,3.205,0,526100000,1299000000,166700000,1984000000,-1356000,-150600,124700,0,0,0,0.005,0.005,0.005,0.005,50.41,11.72,38.95,-0.289,0.004,0.19,,,,,,,,,,,,,,,,,,,,,,,,
0.4,3.068,0,461300000,1139000000,146100000,1900000000,-1190000,-138000,112900,0,0,0,0.005,0.005,0.005,0.005,48.25,10.28,34.16,-0.289,0.003,0.182,,,,,,,,,,,,,,,,,,,,,,,,
0.450018918,3.003,0,432500000,1068000000,137100000,1859000000,-1114000,-131900,112400,0,0,0,0.005,0.005,0.005,0.005,46.98,9.614,31.8,-0.286,0.003,0.175,,,,,,,,,,,,,,,,,,,,,,,,
0.499962164,3,0,431200000,1065000000,136700000,1857000000,-1111000,-131700,112200,0,0,0,0.005,0.005,0.005,0.005,46.94,9.586,31.71,-0.286,0.003,0.174,,,,,,,,,,,,,,,,,,,,,,,,
0.549981082,3.056,0,455900000,1126000000,144500000,1892000000,-1174000,-136600,116800,0,0,0,0.005,0.005,0.005,0.005,47.81,10.13,33.52,-0.286,0.003,0.178,,,,,,,,,,,,,,,,,,,,,,,,
0.6,3.176,0,511900000,1264000000,162200000,1966000000,-1320000,-147900,122200,0,0,0,0.005,0.005,0.005,0.005,49.95,11.41,37.9,-0.289,0.004,0.188,,,,,,,,,,,,,,,,,,,,,,,,
0.650018918,3.377,0,697400000,1726000000,199400000,2372000000,-1.57E+06,-1.67E+05,-108600,0,0,0,0.005,-0.001,0.005,-0.001,57.52,15,49.04,-0.273,0.004,0.181,,,,,,,,,,,,,,,,,,,,,,,,
0.699962164,3.688,0,909200000,2248000000,260000000,2591000000,-2.05E+06,-1.99E+05,-126100,0,0,0,0.006,-0.002,0.006,-0.002,62.82,19.55,63.89,-0.273,0.004,0.197,,,,,,,,,,,,,,,,,,,,,,,,
0.749981082,4.18,0,1480000000,3665000000,386700000,3285000000,-2.95E+06,-2.55E+05,-463600,0,0,0,0.007,-0.009,0.007,-0.009,77,30.99,100.2,-0.261,0.005,0.207,,,,,,,,,,,,,,,,,,,,,,,,
0.8,4.924,0,2931000000,7270000000,656700000,4690000000,-4.74E+06,-3.53E+05,-1255000,0,0,0,0.008,-0.023,0.008,-0.022,104,58.78,186.1,-0.239,0.006,0.209,,,,,,,,,,,,,,,,,,,,,,,,
0.850018918,6,0,6231000000,15470000000,1229000000,6715000000,-8.42E+06,-5.24E+05,-2512000,0,0,0,0.01,-0.038,0.01,-0.038,143.3,121.3,378.6,-0.224,0.008,0.226,,,,,,,,,,,,,,,,,,,,,,,,
0.899962164,6,0,6231000000,15470000000,1229000000,6715000000,-8.42E+06,-5.24E+05,-2512000,0,0,0,0.01,-0.038,0.01,-0.038,143.3,121.3,378.6,-0.224,0.008,0.226,,,,,,,,,,,,,,,,,,,,,,,,
