8,18.16034582,NACA_0021,sharp,0,0.5,0.3,0.25,TC,0,30,0,30,0,0,-1,-0.9167,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0833,0,0.0833,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","4,","14,10,10,14","4,","15,9,9,15","4,","16,8,8,16","4,","17,7,7,17","4,","18,6,6,18","4,","19,5,5,19","4,","20,4,4,20","4,","21,3,3,21","4,","22,2,2,22","3,","22,2,2,22","3,","23,1,1,23"
9,18.21843304,NACA_0021,sharp,0,0.5,0.3,0.25,C,0,0,0,0,30,30,-1,-0.9167,-0.9,-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.1,-0.0833,0,0.0833,0.1,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","5,","15,9,9,15","5,","16,8,8,16","5,","17,7,7,17","5,","18,6,6,18","5,","19,5,5,19","5,","20,4,4,20","5,","21,3,3,21","3,","18,2,2,18","3,","19,1,1,19","3,","22,2,2,22","3,","23,1,1,23"
10,19.02368414,NACA_0021,sharp,0,0.5,0.3,0.25,C,0,0,0,0,30,30,-1,-0.9167,-0.9,-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.1,-0.0833,0,0.0833,0.1,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","5,","15,9,9,15","5,","16,8,8,16","5,","17,7,7,17","5,","18,6,6,18","5,","19,5,5,19","5,","20,4,4,20","5,","21,3,3,21","3,","18,2,2,18","3,","19,1,1,19","3,","22,2,2,22","3,","23,1,1,23"
11,21.25293416,NACA_0021,sharp,0,0.5,0.3,0.25,C,0,0,0,0,30,30,-1,-0.9167,-0.9,-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.1,-0.0833,0,0.0833,0.1,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","5,","15,9,9,15","5,","16,8,8,16","5,","17,7,7,17","5,","18,6,6,18","5,","19,5,5,19","5,","20,4,4,20","5,","21,3,3,21","3,","18,2,2,18","3,","19,1,1,19","3,","22,2,2,22","3,","23,1,1,23"
12,23.36835879,NACA_0021,sharp,0,0.5,0.3,0.25,C,0,0,0,0,30,30,-1,-0.9167,-0.9,-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.1,-0.0833,0,0.0833,0.1,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","5,","15,9,9,15","5,","16,8,8,16","5,","17,7,7,17","5,","18,6,6,18","5,","19,5,5,19","5,","20,4,4,20","5,","21,3,3,21","3,","18,2,2,18","3,","19,1,1,19","3,","22,2,2,22","3,","23,1,1,23"
13,25.41318676,NACA_0021,sharp,0,0.5,0.3,0.25,C,0,0,0,0,30,30,-1,-0.9167,-0.9,-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.1,-0.0833,0,0.0833,0.1,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","5,","15,9,9,15","5,","16,8,8,16","5,","17,7,7,17","5,","18,6,6,18","5,","19,5,5,19","5,","20,4,4,20","5,","21,3,3,21","3,","18,2,2,18","3,","19,1,1,19","3,","22,2,2,22","3,","23,1,1,23"
14,27.355,NACA_0021,sharp,0,0.5,0.3,0.25,C,0,0,0,0,30,30,-1,-0.9167,-0.9,-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.1,-0.0833,0,0.0833,0.1,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","5,","15,9,9,15","5,","16,8,8,16","5,","17,7,7,17","5,","18,6,6,18","5,","19,5,5,19","5,","20,4,4,20","5,","21,3,3,21","3,","18,2,2,18","3,","19,1,1,19","3,","22,2,2,22","3,","23,1,1,23"
15,27.42204788,NACA_0021,sharp,0,0.5,0.3,0.25,C,0,0,0,0,30,30,-1,-0.9167,-0.9,-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.1,-0.0833,0,0.0833,0.1,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","5,","15,9,9,15","5,","16,8,8,16","5,","17,7,7,17","5,","18,6,6,18","5,","19,5,5,19","5,","20,4,4,20","5,","21,3,3,21","3,","18,2,2,18","3,","19,1,1,19","3,","22,2,2,22","3,","23,1,1,23"
16,29.4239724,NACA_0021,sharp,0,0.5,0.3,0.25,C,0,0,0,0,30,30,-1,-0.9167,-0.9,-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.1,-0.0833,0,0.0833,0.1,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","5,","15,9,9,15","5,","16,8,8,16","5,","17,7,7,17","5,","18,6,6,18","5,","19,5,5,19","5,","20,4,4,20","5,","21,3,3,21","3,","18,2,2,18","3,","19,1,1,19","3,","22,2,2,22","3,","23,1,1,23"
17,31.44591551,NACA_0021,sharp,0,0.5,0.3,0.25,C,0,0,0,0,30,30,-1,-0.9167,-0.9,-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.1,-0.0833,0,0.0833,0.1,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","5,","15,9,9,15","5,","16,8,8,16","5,","17,7,7,17","5,","18,6,6,18","5,","19,5,5,19","5,","20,4,4,20","5,","21,3,3,21","3,","18,2,2,18","3,","19,1,1,19","3,","22,2,2,22","3,","23,1,1,23"
18,33.51988932,NACA_0021,sharp,0,0.5,0.3,0.25,C,0,0,0,0,30,30,-1,-0.9167,-0.9,-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.1,-0.0833,0,0.0833,0.1,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","5,","15,9,9,15","5,","16,8,8,16","5,","17,7,7,17","5,","18,6,6,18","5,","19,5,5,19","5,","20,4,4,20","5,","21,3,3,21","3,","18,2,2,18","3,","19,1,1,19","3,","22,2,2,22","3,","23,1,1,23"
19,35.68174739,NACA_0021,sharp,0,0.5,0.3,0.25,C,0,0,0,0,30,30,-1,-0.9167,-0.9,-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.1,-0.0833,0,0.0833,0.1,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","5,","15,9,9,15","5,","16,8,8,16","5,","17,7,7,17","5,","18,6,6,18","5,","19,5,5,19","5,","20,4,4,20","5,","21,3,3,21","3,","18,2,2,18","3,","19,1,1,19","3,","22,2,2,22","3,","23,1,1,23"
20,37.27556454,NACA_0021,sharp,0,0.5,0.3,0.25,TC,0,0,0,0,30,30,-1,-0.9167,-0.9,-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.1,-0.0833,0,0.0833,0.1,0.125,0.25,0.375,0.5,0.625,0.75,0.875,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","6,","5,","15,9,9,15","5,","16,8,8,16","5,","17,7,7,17","5,","18,6,6,18","5,","19,5,5,19","5,","20,4,4,20","5,","21,3,3,21","3,","18,2,2,18","3,","19,1,1,19","3,","22,2,2,22","3,","23,1,1,23"
21,37.33686275,NACA_0021,sharp,0,0.5,0.3,0.25,T,0,30,0,30,0,0,-1,-0.9167,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0833,0,0.0833,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","4,","14,10,10,14","4,","15,9,9,15","4,","16,8,8,16","4,","17,7,7,17","4,","18,6,6,18","4,","19,5,5,19","4,","20,4,4,20","4,","21,3,3,21","4,","22,2,2,22","3,","22,2,2,22","3,","23,1,1,23"
22,38.02357633,NACA_0021,sharp,0,0.5,0.3,0.25,T,0,30,0,30,0,0,-1,-0.9167,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0833,0,0.0833,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","4,","14,10,10,14","4,","15,9,9,15","4,","16,8,8,16","4,","17,7,7,17","4,","18,6,6,18","4,","19,5,5,19","4,","20,4,4,20","4,","21,3,3,21","4,","22,2,2,22","3,","22,2,2,22","3,","23,1,1,23"
23,40.5669729,NACA_0021,sharp,0,0.5,0.3,0.25,T,0,30,0,30,0,0,-1,-0.9167,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0833,0,0.0833,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","4,","14,10,10,14","4,","15,9,9,15","4,","16,8,8,16","4,","17,7,7,17","4,","18,6,6,18","4,","19,5,5,19","4,","20,4,4,20","4,","21,3,3,21","4,","22,2,2,22","3,","22,2,2,22","3,","23,1,1,23"
24,43.30266738,NACA_0021,sharp,0,0.5,0.3,0.25,T,0,30,0,30,0,0,-1,-0.9167,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0833,0,0.0833,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","4,","14,10,10,14","4,","15,9,9,15","4,","16,8,8,16","4,","17,7,7,17","4,","18,6,6,18","4,","19,5,5,19","4,","20,4,4,20","4,","21,3,3,21","4,","22,2,2,22","3,","22,2,2,22","3,","23,1,1,23"
25,43.74570399,NACA_0021,sharp,0,0.5,0.3,0.25,RT,0,30,0,30,0,0,-1,-0.9167,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0833,0,0.0833,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","2,","4,","14,10,10,14","4,","15,9,9,15","4,","16,8,8,16","4,","17,7,7,17","4,","18,6,6,18","4,","19,5,5,19","4,","20,4,4,20","4,","21,3,3,21","4,","22,2,2,22","3,","22,2,2,22","3,","23,1,1,23"
26,43.82410891,NACA_0021,sharp,0,0.5,0.3,0.25,R,30,0,0,0,0,0,-1,-0.9167,-0.8333,-0.75,-0.6667,-0.5833,-0.5,-0.4167,-0.3333,-0.25,-0.1667,-0.0833,0,0.0833,0.1667,0.25,0.3333,0.4167,0.5,0.5833,0.6667,0.75,0.8333,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","13,11,11,13","1,","14,10,10,14","1,","15,9,9,15","1,","16,8,8,16","1,","17,7,7,17","1,","18,6,6,18","1,","19,5,5,19","1,","20,4,4,20","1,","21,3,3,21","1,","22,2,2,22","1,","23,1,1,23"
27,46.60132043,NACA_0021,sharp,0,0.5,0.3,0.25,R,30,0,0,0,0,0,-1,-0.9167,-0.8333,-0.75,-0.6667,-0.5833,-0.5,-0.4167,-0.3333,-0.25,-0.1667,-0.0833,0,0.0833,0.1667,0.25,0.3333,0.4167,0.5,0.5833,0.6667,0.75,0.8333,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","13,11,11,13","1,","14,10,10,14","1,","15,9,9,15","1,","16,8,8,16","1,","17,7,7,17","1,","18,6,6,18","1,","19,5,5,19","1,","20,4,4,20","1,","21,3,3,21","1,","22,2,2,22","1,","23,1,1,23"
28,49.9631231,NACA_0021,sharp,0,0.5,0.3,0.25,R,30,0,0,0,0,0,-1,-0.9167,-0.8333,-0.75,-0.6667,-0.5833,-0.5,-0.4167,-0.3333,-0.25,-0.1667,-0.0833,0,0.0833,0.1667,0.25,0.3333,0.4167,0.5,0.5833,0.6667,0.75,0.8333,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","13,11,11,13","1,","14,10,10,14","1,","15,9,9,15","1,","16,8,8,16","1,","17,7,7,17","1,","18,6,6,18","1,","19,5,5,19","1,","20,4,4,20","1,","21,3,3,21","1,","22,2,2,22","1,","23,1,1,23"
29,53.32617545,NACA_0021,sharp,0,0.5,0.3,0.25,R,30,0,0,0,0,0,-1,-0.9167,-0.8333,-0.75,-0.6667,-0.5833,-0.5,-0.4167,-0.3333,-0.25,-0.1667,-0.0833,0,0.0833,0.1667,0.25,0.3333,0.4167,0.5,0.5833,0.6667,0.75,0.8333,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","13,11,11,13","1,","14,10,10,14","1,","15,9,9,15","1,","16,8,8,16","1,","17,7,7,17","1,","18,6,6,18","1,","19,5,5,19","1,","20,4,4,20","1,","21,3,3,21","1,","22,2,2,22","1,","23,1,1,23"
30,56.333,NACA_0021,sharp,0,0.5,0.3,0.25,R,30,0,0,0,0,0,-1,-0.9167,-0.8333,-0.75,-0.6667,-0.5833,-0.5,-0.4167,-0.3333,-0.25,-0.1667,-0.0833,0,0.0833,0.1667,0.25,0.3333,0.4167,0.5,0.5833,0.6667,0.75,0.8333,0.9167,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","1,","13,11,11,13","1,","14,10,10,14","1,","15,9,9,15","1,","16,8,8,16","1,","17,7,7,17","1,","18,6,6,18","1,","19,5,5,19","1,","20,4,4,20","1,","21,3,3,21","1,","22,2,2,22","1,","23,1,1,23"
